"","TestDescription","Evid.Ratio"
"1","FatherHigherNotOnLeave",6.13
"2","FatherHigherOnLeave",4.93
"3","FatherDecreasesOnLeave",5.56
"4","MotherDecreasesOnLeave",9.2
