"","TestDescription","Evid.Ratio"
"1","FatherHigherNotOnLeave",0.97
"2","FatherHigherOnLeave",0.14
"3","FatherDecreasesOnLeave",186.5
"4","MotherDecreasesOnLeave",30.91
