"","TestDescription","Evid.Ratio"
"1","FatherHigherNotOnLeave",8.74
"2","FatherHigherOnLeave",1.19
"3","FatherDecreasesOnLeave",271.73
"4","MotherDecreasesOnLeave",11.55
