"","TestDescription","Evid.Ratio"
"1","FatherHigherNotOnLeave",1.01072386058981
"2","FatherHigherOnLeave",1
"3","FatherDecreasesOnLeave",26.5229357798165
"4","MotherDecreasesOnLeave",46.6190476190476
