"","TestDescription","Evid.Ratio"
"1","FatherHigherNotOnLeave",7.28729281767956
"2","FatherHigherOnLeave",7.04289544235925
"3","FatherDecreasesOnLeave",87.2352941176471
"4","MotherDecreasesOnLeave",99
