"","TestDescription","Evid.Ratio"
"1","FatherHigherNotOnLeave",1.29
"2","FatherHigherOnLeave",54.56
"3","FatherDecreasesOnLeave",Inf
"4","MotherDecreasesOnLeave",Inf
