"","TestDescription","Evid.Ratio"
"1","FatherHigherNotOnLeave",1.1
"2","FatherHigherOnLeave",0.47
"3","FatherDecreasesOnLeave",3.19
"4","MotherDecreasesOnLeave",1.14
